id;chapter_id;lesson_number;title_jp;title_id;content;xp_reward;sort_order;created_at
23805733-a636-4397-8818-c59c7ec3b821;eb64def6-656d-4f5f-9883-df6d449aa077;1;おはよう・こんにちは;Salam Pagi dan Siang;"{""type"":""vocabulary""}";10;1;2026-01-22 07:50:48.669119+00
08ae6695-7d7e-4aa4-803c-d39367a23306;eb64def6-656d-4f5f-9883-df6d449aa077;2;こんばんは・さようなら;Salam Malam dan Perpisahan;"{""type"":""vocabulary""}";10;2;2026-01-22 07:50:48.669119+00
9213f2d3-6215-487a-bfe9-12388279f452;eb64def6-656d-4f5f-9883-df6d449aa077;3;ありがとうございます;Terima Kasih;"{""type"":""vocabulary""}";10;3;2026-01-22 07:50:48.669119+00
9c51c1e2-6920-4d9e-8c1e-4139c3f7da25;eb64def6-656d-4f5f-9883-df6d449aa077;4;すみません・ごめんなさい;Permisi dan Maaf;"{""type"":""vocabulary""}";10;4;2026-01-22 07:50:48.669119+00
abf37b18-1991-478c-ba3c-2f308517c48c;eb64def6-656d-4f5f-9883-df6d449aa077;5;はい・いいえ;Ya dan Tidak;"{""type"":""vocabulary""}";10;5;2026-01-22 07:50:48.669119+00
0a43b020-f70f-40cf-b704-a7bcb5e00941;eb64def6-656d-4f5f-9883-df6d449aa077;6;会話練習;Latihan Percakapan;"{""type"":""dialogue""}";15;6;2026-01-22 07:50:48.669119+00
70df3423-1182-4ba9-ad90-3dcb588de0d7;eb64def6-656d-4f5f-9883-df6d449aa077;7;まとめ;Ringkasan Bab 1;"{""type"":""reading""}";10;7;2026-01-22 07:50:48.669119+00
f572a17e-78cb-4081-8198-85a9ee259930;eb64def6-656d-4f5f-9883-df6d449aa077;8;クイズ;Quiz Bab 1;"{""type"":""quiz""}";25;8;2026-01-22 07:50:48.669119+00
35b7b218-a6a7-4c39-b82b-43e87ff1241b;16860596-f9a4-41d2-bdfc-c5d36a81e408;1;はじめまして;Salam Perkenalan;{};15;1;2026-01-22 11:16:24.012791+00
96335759-3131-45e4-a0d4-8b43475a8381;16860596-f9a4-41d2-bdfc-c5d36a81e408;2;名前と出身;Nama dan Asal;{};15;2;2026-01-22 11:16:24.012791+00
d2784789-02f7-49bf-8954-ddd4fd52acbe;16860596-f9a4-41d2-bdfc-c5d36a81e408;3;仕事と会社;Pekerjaan dan Perusahaan;{};20;3;2026-01-22 11:16:24.012791+00
d0a42295-dc2d-46f8-9ecf-7d14d7f09bd4;16860596-f9a4-41d2-bdfc-c5d36a81e408;4;自己紹介のパターン;Pola Perkenalan Diri;"{""lesson_type"":""grammar"",""patterns"":[{""examples"":[{""id"":""Salam kenal. Saya Budi. Mohon bantuannya."",""ja"":""はじめまして。ブディです。よろしくおねがいします。"",""reading"":""Hajimemashite. Budi desu. Yoroshiku onegaishimasu.""},{""id"":""Salam kenal. Saya Sari. Mohon bantuannya."",""ja"":""はじめまして。サリです。よろしくおねがいします。"",""reading"":""Hajimemashite. Sari desu. Yoroshiku onegaishimasu.""}],""formula"":""はじめまして。[Nama]です。よろしくおねがいします。"",""meaning"":""Salam kenal. Saya [Nama]. Mohon bantuannya."",""pattern_name"":""Pola Dasar Perkenalan"",""reading"":""Hajimemashite. [Nama] desu. Yoroshiku onegaishimasu.""},{""examples"":[{""id"":""Saya datang dari Indonesia."",""ja"":""インドネシアから来ました。"",""reading"":""Indonesia kara kimashita.""},{""id"":""Saya datang dari Jakarta."",""ja"":""ジャカルタから来ました。"",""reading"":""Jakarta kara kimashita.""},{""id"":""Saya datang dari Surabaya."",""ja"":""スラバヤから来ました。"",""reading"":""Surabaya kara kimashita.""}],""formula"":""[Negara/Kota]から来ました。"",""meaning"":""Saya datang dari [Negara/Kota]."",""pattern_name"":""Menyebutkan Asal"",""reading"":""[Negara/Kota] kara kimashita.""},{""examples"":[{""id"":""Saya orang Indonesia."",""ja"":""わたしはインドネシア人です。"",""reading"":""Watashi wa Indonesia-jin desu.""},{""id"":""Tanaka adalah orang Jepang."",""ja"":""田中さんは日本人です。"",""reading"":""Tanaka-san wa Nihon-jin desu.""}],""formula"":""わたしは[Negara]人です。"",""meaning"":""Saya orang [Negara]."",""pattern_name"":""Menyebutkan Kebangsaan"",""reading"":""Watashi wa [Negara]-jin desu.""},{""examples"":[{""id"":""Saya bekerja di pabrik."",""ja"":""工場で働いています。"",""reading"":""Koujou de hataraite imasu.""},{""id"":""Saya bekerja di Toyota."",""ja"":""トヨタで働いています。"",""reading"":""Toyota de hataraite imasu.""}],""formula"":""[Tempat]で働いています。"",""meaning"":""Saya bekerja di [Tempat]."",""pattern_name"":""Menyebutkan Pekerjaan"",""reading"":""[Tempat] de hataraite imasu.""},{""examples"":[{""id"":""Salam kenal. Nama saya Budi. Saya datang dari Indonesia. Saya bekerja sebagai peserta magang di pabrik ABC. Mohon bimbingannya."",""ja"":""はじめまして。ブディと申します。インドネシアから参りました。ABC工場で研修生として働いております。どうぞよろしくおねがいいたします。"",""reading"":""Hajimemashite. Budi to moushimasu. Indonesia kara mairimashita. ABC koujou de kenshuusei toshite hataraite orimasu. Douzo yoroshiku onegai itashimasu.""}],""formula"":""はじめまして。[Nama]と申します。[Negara]から参りました。[Perusahaan]で研修生として働いております。どうぞよろしくおねがいいたします。"",""meaning"":""Salam kenal. Nama saya [Nama]. Saya datang dari [Negara]. Saya bekerja sebagai peserta magang di [Perusahaan]. Mohon bimbingannya."",""note"":""Ini adalah versi SANGAT FORMAL yang digunakan saat perkenalan di perusahaan Jepang."",""pattern_name"":""Perkenalan Lengkap (Formal)"",""reading"":""Hajimemashite. [Nama] to moushimasu. [Negara] kara mairimashita. [Perusahaan] de kenshuusei toshite hataraite orimasu. Douzo yoroshiku onegai itashimasu.""}],""tips"":[""Selalu mulai dengan「はじめまして」saat pertama kali bertemu"",""Akhiri dengan「よろしくおねがいします」"",""Di tempat kerja Jepang, gunakan bahasa yang lebih sopan"",""Saat memperkenalkan diri ke atasan, gunakan「〜と申します」bukan「〜です」""]}";25;4;2026-01-22 11:27:04.084269+00
