id;lesson_id;question_type;question_text;options;correct_answer;explanation;created_at
71efed68-16f0-4743-b341-86f054a1f593;23805733-a636-4397-8818-c59c7ec3b821;multiple_choice;"Apa arti ""おはようございます""?";"[""Selamat pagi"",""Selamat siang"",""Selamat malam"",""Sampai jumpa""]";Selamat pagi;"""おはようございます"" (ohayou gozaimasu) adalah salam pagi yang formal dalam bahasa Jepang.";2026-01-22 07:51:51.987384+00
46754873-6534-42b8-99a7-e83eb177a774;23805733-a636-4397-8818-c59c7ec3b821;multiple_choice;"Kapan menggunakan ""こんにちは""?";"[""Pagi hari"",""Siang hari"",""Malam hari"",""Tengah malam""]";Siang hari;"""こんにちは"" (konnichiwa) digunakan untuk menyapa di siang hari, biasanya dari jam 10 pagi sampai sore.";2026-01-22 07:51:51.987384+00
0e278c7b-e74f-4552-9399-b9afbeee4eae;23805733-a636-4397-8818-c59c7ec3b821;multiple_choice;"Bagaimana cara menjawab ""お元気ですか""?";"[""ありがとう"",""さようなら"",""元気です"",""すみません""]";元気です;"Untuk menjawab ""お元気ですか"" (apa kabar?), kita bisa menjawab ""元気です"" (saya baik-baik saja).";2026-01-22 07:51:51.987384+00
d42d2288-bc0c-4073-9915-a339cf91269c;23805733-a636-4397-8818-c59c7ec3b821;multiple_choice;Mana yang merupakan salam INFORMAL untuk pagi hari?;"[""おはようございます"",""おはよう"",""こんにちは"",""こんばんは""]";おはよう;"""おはよう"" (ohayou) adalah versi informal dari ""おはようございます"", digunakan dengan teman atau orang yang lebih muda.";2026-01-22 07:51:51.987384+00
4e91e794-6922-4405-a935-3e04220d8b1e;23805733-a636-4397-8818-c59c7ec3b821;multiple_choice;Lengkapi percakapan: A: こんにちは。___? B: 元気です。;"[""お元気ですか"",""ありがとう"",""さようなら"",""すみません""]";お元気ですか;"Percakapan yang lengkap adalah: ""Selamat siang. Apa kabar? - Saya baik.""";2026-01-22 07:51:51.987384+00
c6683d9b-bbb2-4bd0-a2e1-aae195f39c0c;08ae6695-7d7e-4aa4-803c-d39367a23306;multiple_choice;"Apa arti ""こんばんは""?";"[""Selamat pagi"",""Selamat siang"",""Selamat malam"",""Selamat tidur""]";Selamat malam;"""こんばんは"" (konbanwa) adalah salam yang digunakan di malam hari.";2026-01-22 07:51:51.987384+00
00c3b0bd-5b38-4fcf-b941-2472d84af1fa;08ae6695-7d7e-4aa4-803c-d39367a23306;multiple_choice;Mana yang benar untuk mengucapkan selamat tidur secara formal?;"[""おやすみ"",""おやすみなさい"",""さようなら"",""また明日""]";おやすみなさい;"""おやすみなさい"" (oyasuminasai) adalah cara formal untuk mengucapkan selamat tidur.";2026-01-22 07:51:51.987384+00
0dc8630b-eb38-4185-b726-4280eab6195a;08ae6695-7d7e-4aa4-803c-d39367a23306;multiple_choice;"Apa arti ""また明日""?";"[""Selamat tinggal"",""Sampai nanti"",""Sampai besok"",""Apa kabar""]";Sampai besok;"""また明日"" (mata ashita) berarti ""sampai besok"" atau ""see you tomorrow"".";2026-01-22 07:51:51.987384+00
12b6275c-01e2-4396-8b8e-1b9a34077713;d2784789-02f7-49bf-8954-ddd4fd52acbe;multiple_choice;Apa yang pertama kali diucapkan saat berkenalan?;"[""よろしくおねがいします"",""はじめまして"",""さようなら"",""ありがとう""]";はじめまして;「はじめまして」adalah salam yang diucapkan saat PERTAMA KALI bertemu seseorang.;2026-01-22 11:18:09.428315+00
35fc326c-05d4-49e0-b2b0-d0df3f1604d9;d2784789-02f7-49bf-8954-ddd4fd52acbe;multiple_choice;"Bagaimana mengatakan ""Saya datang dari Indonesia""?";"[""インドネシアに行きます"",""インドネシアから来ました"",""インドネシアで働きます"",""インドネシアを見ました""]";インドネシアから来ました;"「〜から来ました」berarti ""datang dari~"".「に」untuk tujuan,「で」untuk tempat aktivitas.";2026-01-22 11:18:09.428315+00
da50526a-ae74-46e4-8a47-d403d2f30515;d2784789-02f7-49bf-8954-ddd4fd52acbe;multiple_choice;Apa arti「わたしはインドネシア人です」?;"[""Saya tinggal di Indonesia"",""Saya orang Indonesia"",""Saya pergi ke Indonesia"",""Saya suka Indonesia""]";Saya orang Indonesia;「〜人」(jin) adalah sufiks untuk menyatakan kebangsaan. インドネシア人 = orang Indonesia.;2026-01-22 11:18:09.428315+00
6e091897-b85d-4e05-9464-bcebae88827e;d2784789-02f7-49bf-8954-ddd4fd52acbe;multiple_choice;Mana yang lebih SOPAN untuk mengatakan nama?;"[""ブディです"",""ブディと申します"",""ブディだ"",""ブディと言います""]";ブディと申します;「〜と申します」adalah bentuk sangat sopan dari「〜です」untuk memperkenalkan nama sendiri.;2026-01-22 11:18:09.428315+00
73370090-6f45-4f12-adf4-30dad73fb46b;d2784789-02f7-49bf-8954-ddd4fd52acbe;multiple_choice;Apa arti「会社で働いています」?;"[""Saya pergi ke perusahaan"",""Saya bekerja di perusahaan"",""Saya memiliki perusahaan"",""Saya mencari perusahaan""]";Saya bekerja di perusahaan;"「〜で働いています」berarti ""bekerja di~"".「で」menunjukkan tempat aktivitas.";2026-01-22 11:18:09.428315+00
